direccion,latitud,longitud
"Arcadio Pardiñas 144, 27880 lugo, burela a fonsagrada, españa",43.65489,-7.35745
"calle o rio 2, 27880 lugo, burela a fonsagrada, españa",43.12471,-7.068857400000001
"calle torno 3, 27880 lugo, burela a fonsagrada, españa",43.6602954,-7.3611092
"calle pardo bazan 7, 27880 lugo, burela a fonsagrada, españa",43.6604982,-7.358876499999999
"27233 burgo 24, 27233 lugo, lugo, españa",42.968542,-7.644639199999999
"calvoso 10, 27864 calvoso, viveiro, españa",43.612902,-7.590344
"camba 27877, 27877 lugo, xove, españa",43.692159,-7.5418181
"cambra 27182, 27182 lugo, lugo, españa",42.9194119,-7.5558687
"campina-zarra 27192, 27192 lugo, lugo, españa",43.0372547,-7.5287858
"campina-zarra 27192, 27192 lugo, lugo, españa",43.0372547,-7.5287858
"campina-zarra 27192, 27192 lugo, lugo, españa",43.0372547,-7.5287858
"campoverde 7, 27549 campoverde, panton, españa",42.55557,-7.6323
"ctra. ferreira vilacha 8, 27892 lugo, cangas foz, españa",43.62947,-7.3371
"calle poligono a barrela 1, 27520 lugo, carballedo castroverde, españa",42.5209597,-7.829386200000001
"carballido 27146, 27146 lugo, lugo, españa",43.0137738,-7.474820999999999
"carretera lugo 27146, 27146, lugo, españa",43.0166244,-7.4519959
"carroceira 27740, 27740 lugo, mondonedo, españa",43.4285755,-7.3638468
"casela a diseminado 27259, 27259, lugo, españa",43.176755,-7.4056928
"casilla 27840, 27840 lugo, vilalba, españa",43.2974899,-7.6807717
"castedo 13, 27127 lugo, castedo castroverde, españa",43.03912,-7.37518
"castelo 2, 27152 castelo, outeiro de rei, españa",43.14201,-7.55699
"castillon 37, 27438 lugo, castillon panton, españa",42.5323389,-7.6361638
"castro ribeiras de lea 27260, 27260 lugo, castro de rei, españa",43.1447029,-7.517792399999999
"27260 castro ribeiras de lea 21, 27260 lugo, castro de rei, españa",43.1447029,-7.517792399999999
"27260 castro ribeiras de lea 58, 27260 lugo, castro de rei, españa",43.1447029,-7.517792399999999
"castro ribeiras de lea 27260, 27260 lugo, castro de rei, españa",43.1447029,-7.5177924
"castro ribeiras de lea 27260, 27260 lugo, castro de rei, españa",43.1447029,-7.5177924
"27260 castro ribeiras de lea 39, 27260 lugo, castro de rei, españa",43.1447029,-7.517792399999999
"27260 castro ribeiras de lea 13, 27260 lugo, castro de rei, españa",43.1447029,-7.517792399999999
"pl. maior 6, 27250 lugo, castro de rei, españa",43.207234,-7.398524
"ctra. n-iv km , 27259 lugo, castro de rei, españa",43.2086787,-7.401061299999999
"curro 115, 27259 lugo, castro de rei, españa",43.2086787,-7.401061299999999
"calle molinos s/n, 27260 lugo, castro de rei, españa",43.2086787,-7.401061299999999
"tormentosa 12, 27260 lugo, castro de rei, españa",43.1417286,-7.4910904
"rua ribeiras lea 0, 27260 lugo, castro de rei, españa",43.2086787,-7.401061299999999
"avenida terra cha 26 bajo castro ribeiras de lea,  lugo, castro de rei, españa",43.1414,-7.4933
"avenida peares 43, 27530 lugo, castro carballedo, españa",42.5312864,-7.7836751
"castro 27260, 27260 lugo, castro de rei, españa",43.2086787,-7.401061299999999
"27269 castro 10, 27269 lugo, castro de rei, españa",43.2086787,-7.401061299999999
"27269 castro 32, 27269 lugo, castro de rei, españa",43.2086787,-7.401061299999999
"27269 castro 58, 27269 lugo, castro de rei, españa",43.2086787,-7.401061299999999
"castro 27619, 27619 lugo, sarria, españa",42.7860669,-7.3894772
"Rosalia De Castro (De) 132, 27120 lugo, castroverde, españa",43.0261115,-7.3287031
"Rosalia De Castro (De) 46, 27120 lugo, castroverde, españa",43.0261115,-7.3287031
"pr. concello 2, 27120 lugo, castroverde, españa",43.029568,-7.3272582
"Rosalia De Castro (De) 106, 27120 lugo, castroverde, españa",43.0261115,-7.3287031
"calle sampayo 10, 27120 lugo, castroverde, españa",43.0261115,-7.3287031
"Rosalia De Castro (De) 49, 27120 lugo, castroverde, españa",43.0261115,-7.3287031
"calle alcalde xesta s/n, 27120 lugo, castroverde, españa",43.0261115,-7.3287031
"Rosalia De Castro (De), 27120 lugo, castroverde, españa",43.0261115,-7.3287031
"arcos de sanpelagio s/n, 27120 lugo, castroverde, españa",43.0261115,-7.3287031
"aldea sampayo s/n, 27142 lugo, castroverde, españa",43.0296285,-7.3256658
"aldea cellan de mosteiro 5, 27143 lugo, castroverde, españa",42.99316,-7.32578
"ceao 32, 27290 lugo, lugo, españa",43.06332099999999,-7.5545143
"celeiro 27863, 27863 lugo, viveiro, españa",43.6798633,-7.5883459
"celeiro 27863, 27863 lugo, viveiro, españa",43.6798633,-7.5883459
